"etape","long","court","option"
1,"ALLEE ","all ",
1,"AVENUE ","av ",
1,"BOULEVARD ","bd ",
1,"CARREFOUR ","carr ",
1,"CENTRE COMMERCIAL ","ccal @ ",
1,"IMMEUBLE(S|) ","imm ",
1,"IMPASSE ","imp ",
1,"LIEU DIT ","ld @ ",
1,"LOTISSEMENT ","lot ",
1,"PASSAGE ","pas ",
1,"PLACE ","pl ",
1,"RESIDENCE(S|) ","res ",
1,"ROND POINT ","rpt @ ",
1,"ROUTE ","rte ",
1,"SQUARE ","sq ",
1,"VILLAGE ","vlge ",
1,"ZONE INDUSTRIELLE ","zi @ ",
1.0,"ZONE D ACTIVITE ECONOMIQUE ","zae @ @ @ ",
1.0,"ZONE ACTIVITE ECONOMIQUE ","zae @ @ ",
1,"ZONE D ACTIVITE ","za @ @ ",
1,"ZONE ACTIVITE ","za @ ",
1,"ZONE AMENAGEMENT CONCERTE ","zac @ @ ",
1,"ZONE D AMENAGEMENT CONCERTE ","zac @ @ @ ",
1,"ZONE D AMENAGEMENT DIFFERE ","zad @ @ @ ",
1,"ZONE AMENAGEMENT DIFFERE ","zad @ @ ",
1,"ZONE A URBANISER EN PRIORITE ","zup @ @ @ @ ",
1.0,"ZONE ARTISANALE ","zone artisanale ",
1.0,"LA PIERRE ","LA pierre ",
1.0," DE LA FONTAINE( PROLONGEE|$)"," de la fontaine\g<1>",
2.0,"SAINT JEAN BAPTISTE","st JEAN BAPTISTE",
2.0,"DE L AIGLETTE","AIGLETTE @ @",
2.0,"SAINTE CROIX","SAINTE croix",
2.0,"TOUR CARREE","tour CARREE",
2.0,"PONT SAINT","pont SAINT",
2.0,"SAINT PIERRE SAINT","st pierre st",
2.0,"ANTOINE DE SAINT","ANTOINE DE st",
2.0,"DECLARATION UNIVERSELLE DES DROITS","DECLARATION universelle DES droits",
2.0,"LA CLAIRE","LA claire",
2.0,"LA TOUR","LA tour",
2,"ADJUDANT","adj",
2,"ASPIRANT","asp",
2,"CARDINAL","cdl",
2,"COMMANDANT","cdt",
